miRNA	gene	support type	label	split	hist	num_miRNA_disease	num_gene_disease
hsa-miR-200c	DNMT3B	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.3547515976087405, 0.5979591836734693, 0.04225932797361369, 0.004061018346732633, 0.000968872397443826]	154	315
hsa-miR-100	CTDSPL	TargetScan;miRDB;miRTarBase	1	train	[0.2443452380952381, 0.6785714285714286, 0.06696428571428571, 0.008333333333333333, 0.0017857142857142857]	96	35
hsa-miR-199a	CDH2	TargetScan;miRTarBase;miRWalk	1	train	[0.3717852684144819, 0.5853100291302539, 0.037037037037037035, 0.004078235538909696, 0.0017894298793175198]	178	135
hsa-miR-99a	SMARCA5	TargetScan;miRTarBase;miRWalk	1	train	[0.2989010989010989, 0.6223443223443224, 0.07032967032967033, 0.006593406593406593, 0.0018315018315018315]	70	39
hsa-miR-224	LDLR	miRTarBase	1	train	[0.34461620469083154, 0.6082089552238806, 0.04046730632551528, 0.005063965884861407, 0.0016435678749111586]	67	336
hsa-miR-106b	BCL2L11	TargetScan;miRTarBase;miRWalk	1	train	[0.3720231213872832, 0.5723699421965318, 0.04797687861271676, 0.005895953757225433, 0.0017341040462427746]	100	173
hsa-let-7b	TNFRSF10B	miRTarBase;miRWalk	1	train	[0.3497315181428649, 0.5881651027824484, 0.054509952812279654, 0.005532353419753756, 0.00206107284265336]	103	179
hsa-miR-375	PDGFC	TargetScan;miRTarBase	1	train	[0.3610954263128176, 0.5899680030114812, 0.04423113118765293, 0.0036702428006775835, 0.0010351966873706005]	154	69
hsa-miR-21	WWC2	miRDB;miRTarBase	1	train	[0.32765513645054756, 0.6181122892403963, 0.04849643664175213, 0.005040848253085347, 0.0006952894142186686]	523	11
hsa-miR-150	PLP2	TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.30264336917562723, 0.6418010752688172, 0.04995519713261649, 0.004704301075268817, 0.0008960573476702509]	186	24
hsa-miR-151a	NTRK3	TarBase;miRTarBase;miRWalk	1	train	[0.34930232558139535, 0.6035658914728682, 0.04124031007751938, 0.004806201550387597, 0.0010852713178294573]	43	150
hsa-miR-96	SDHB	miRDB;miRTarBase	1	train	[0.36450251803457195, 0.5918402068871649, 0.04028855315094596, 0.0027902545256567306, 0.0005784674016605417]	93	316
hsa-miR-144	ADAMTS5	TargetScan;miRTarBase;miRWalk	1	train	[0.3342423061940008, 0.611375146084924, 0.04900662251655629, 0.003817686014803272, 0.0015582391897156214]	151	85
hsa-miR-130b	EDN1	TargetScan;miRTarBase;miRWalk	1	train	[0.34008249641319943, 0.6107962697274032, 0.04415351506456241, 0.0038916786226685794, 0.0010760401721664275]	82	680
hsa-miR-125b	IKZF4	TarBase;TargetScan;miRTarBase;miRWalk	1	train	[0.3405918481295366, 0.6270240089335567, 0.02847571189279732, 0.0005583472920156337, 0.0033500837520938024]	199	9
hsa-miR-130b	ITGB1	miRTarBase	1	train	[0.3327526132404181, 0.6070847851335657, 0.0529616724738676, 0.0051684088269454125, 0.0020325203252032522]	82	210
hsa-miR-16	ACSL1	miRTarBase	1	train	[0.30605285592497866, 0.6258880363739698, 0.060528559249786874, 0.0064649048025007105, 0.0010656436487638534]	207	68
hsa-miR-196b	RDX	TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.37127659574468086, 0.5723404255319149, 0.04734042553191489, 0.006914893617021276, 0.002127659574468085]	47	80
hsa-miR-29c	ITGA6	TarBase;TargetScan;miRTarBase;miRWalk	1	train	[0.30780302251464997, 0.635036496350365, 0.05099208389020253, 0.004831911175079675, 0.0013364860697028889]	142	137
hsa-miR-1	HSPD1	TargetScan;miRDB;miRTarBase	1	train	[0.3480534970572708, 0.6078642238429501, 0.04025966407915062, 0.0027960815751911306, 0.0010265334454373032]	257	398
hsa-miR-20a	ATG7	TargetScan;miRDB;miRTarBase	1	train	[0.2786602476636717, 0.6606853229668151, 0.05398656128517365, 0.005148932883659862, 0.0015189352006796592]	217	179
hsa-miR-223	IGF1R	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.38829228587932574, 0.5787231528645697, 0.029643438533844456, 0.002474662605681878, 0.0008664601165782703]	274	556
hsa-miR-221	ARNT	TargetScan;miRTarBase;miRWalk	1	train	[0.3409134615384615, 0.6117788461538461, 0.040769230769230766, 0.005288461538461539, 0.00125]	200	104
